Check (release year) as well?

[18/Feb/2019 15:04:55] WARNING [MYAPP:209] Found Ace Attorney Investigations: Miles Edgeworth, not full scores
[18/Feb/2019 15:04:59] WARNING [MYAPP:209] Found An Octave Higher, not full scores
[18/Feb/2019 15:04:59] WARNING [MYAPP:253] Found Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien, no time recorded
[18/Feb/2019 15:05:04] WARNING [MYAPP:209] Found Canabalt, not full scores
[18/Feb/2019 15:05:07] WARNING [MYAPP:209] Found Cat Girl Without Salad: Amuse-Bouche, not full scores
[18/Feb/2019 15:05:08] WARNING [MYAPP:253] Found Cave Story Plus, no time recorded
[18/Feb/2019 15:05:11] WARNING [MYAPP:209] Found Cthulhu Realms, not full scores
[18/Feb/2019 15:05:12] WARNING [MYAPP:253] Found Defender's Quest 2, no time recorded
[18/Feb/2019 15:05:33] WARNING [MYAPP:253] Found Dragon Quest I, no time recorded
[18/Feb/2019 15:05:34] WARNING [MYAPP:253] Found Epistory - Typing Chronicles, no time recorded
[18/Feb/2019 15:05:38] WARNING [MYAPP:253] Found Fabula Mortis, no time recorded
[18/Feb/2019 15:05:40] WARNING [MYAPP:209] Found Fabula Mortis, not full scores
[18/Feb/2019 15:05:41] WARNING [MYAPP:253] Found Feel The Magic: XY/XX, no time recorded
[18/Feb/2019 15:05:42] WARNING [MYAPP:253] Found Final Fantasy IV, no time recorded
[18/Feb/2019 15:06:06] WARNING [MYAPP:253] Found FINAL FANTASY VIII, no time recorded
[18/Feb/2019 15:06:15] WARNING [MYAPP:253] Found Find Mii 2, no time recorded
[18/Feb/2019 15:06:22] WARNING [MYAPP:253] Found Fire Emblem: Blazing Sword, no time recorded
[18/Feb/2019 15:06:29] WARNING [MYAPP:253] Found Fire Emblem: Echoes: Shadows of Valentia, no time recorded
[18/Feb/2019 15:06:32] WARNING [MYAPP:209] Found Grim Legends 3: The Dark City, not full scores
[18/Feb/2019 15:06:35] WARNING [MYAPP:209] Found hack_me, not full scores
[18/Feb/2019 15:07:08] WARNING [MYAPP:253] Found Knights of Pen & Paper (+1 Edition), no time recorded
